Month,Region_x,Channel,Marketing Spend (€),Competitor Sales Jacquet (€),Competitor Sales La Boulangère (€),Region_y,Sales Channel,Product Type,Units Sold,Revenue (€),ROI
2023-01-01,Paris,Online,12000,55000,45000,Paris,Online,White,1800,9000,-0.25
2023-01-01,Paris,Online,12000,55000,45000,Paris,Online,Brown,1500,7500,-0.375
2023-01-01,Paris,Online,12000,55000,45000,Paris,Online,Multigrain,1200,6000,-0.5
2023-01-01,Paris,Online,12000,55000,45000,Paris,Membership,White,2200,11000,-0.08333333333333333
2023-01-01,Paris,Online,12000,55000,45000,Paris,Membership,Brown,1900,9500,-0.20833333333333334
2023-01-01,Paris,Online,12000,55000,45000,Paris,Membership,Multigrain,1600,8000,-0.3333333333333333
2023-01-01,Paris,Online,12000,55000,45000,Paris,Retail,White,4500,18000,0.5
2023-01-01,Paris,Online,12000,55000,45000,Paris,Retail,Brown,3800,15200,0.26666666666666666
2023-01-01,Paris,Online,12000,55000,45000,Paris,Retail,Multigrain,3000,12000,0.0
2023-01-01,Paris,Online,12000,55000,45000,South France,Online,White,1100,5500,-0.5416666666666666
2023-01-01,Paris,Online,12000,55000,45000,South France,Online,Brown,900,4500,-0.625
2023-01-01,Paris,Online,12000,55000,45000,South France,Online,Multigrain,700,3500,-0.7083333333333334
2023-01-01,Paris,Online,12000,55000,45000,South France,Membership,White,1400,7000,-0.4166666666666667
2023-01-01,Paris,Online,12000,55000,45000,South France,Membership,Brown,1200,6000,-0.5
2023-01-01,Paris,Online,12000,55000,45000,South France,Membership,Multigrain,1000,5000,-0.5833333333333334
2023-01-01,Paris,Online,12000,55000,45000,South France,Retail,White,2500,10000,-0.16666666666666666
2023-01-01,Paris,Online,12000,55000,45000,South France,Retail,Brown,2100,8400,-0.3
2023-01-01,Paris,Online,12000,55000,45000,South France,Retail,Multigrain,1700,6800,-0.43333333333333335
2023-01-01,Paris,Membership,15000,60000,50000,Paris,Online,White,1800,9000,-0.4
2023-01-01,Paris,Membership,15000,60000,50000,Paris,Online,Brown,1500,7500,-0.5
2023-01-01,Paris,Membership,15000,60000,50000,Paris,Online,Multigrain,1200,6000,-0.6
2023-01-01,Paris,Membership,15000,60000,50000,Paris,Membership,White,2200,11000,-0.26666666666666666
2023-01-01,Paris,Membership,15000,60000,50000,Paris,Membership,Brown,1900,9500,-0.36666666666666664
2023-01-01,Paris,Membership,15000,60000,50000,Paris,Membership,Multigrain,1600,8000,-0.4666666666666667
2023-01-01,Paris,Membership,15000,60000,50000,Paris,Retail,White,4500,18000,0.2
2023-01-01,Paris,Membership,15000,60000,50000,Paris,Retail,Brown,3800,15200,0.013333333333333334
2023-01-01,Paris,Membership,15000,60000,50000,Paris,Retail,Multigrain,3000,12000,-0.2
2023-01-01,Paris,Membership,15000,60000,50000,South France,Online,White,1100,5500,-0.6333333333333333
2023-01-01,Paris,Membership,15000,60000,50000,South France,Online,Brown,900,4500,-0.7
2023-01-01,Paris,Membership,15000,60000,50000,South France,Online,Multigrain,700,3500,-0.7666666666666667
2023-01-01,Paris,Membership,15000,60000,50000,South France,Membership,White,1400,7000,-0.5333333333333333
2023-01-01,Paris,Membership,15000,60000,50000,South France,Membership,Brown,1200,6000,-0.6
2023-01-01,Paris,Membership,15000,60000,50000,South France,Membership,Multigrain,1000,5000,-0.6666666666666666
2023-01-01,Paris,Membership,15000,60000,50000,South France,Retail,White,2500,10000,-0.3333333333333333
2023-01-01,Paris,Membership,15000,60000,50000,South France,Retail,Brown,2100,8400,-0.44
2023-01-01,Paris,Membership,15000,60000,50000,South France,Retail,Multigrain,1700,6800,-0.5466666666666666
2023-01-01,Paris,Retail,20000,85000,70000,Paris,Online,White,1800,9000,-0.55
2023-01-01,Paris,Retail,20000,85000,70000,Paris,Online,Brown,1500,7500,-0.625
2023-01-01,Paris,Retail,20000,85000,70000,Paris,Online,Multigrain,1200,6000,-0.7
